M_id;T_id;Price_d2.1
75960;373917;нет
229565;465923;нет
294556;528812;нет
229707;465924;нет
264167;474220;нет
229567;465925;нет
229570;465926;нет
229571;465933;нет
294578;496546;нет
264169;474221;нет
397204;568161;нет
264183;474222;нет
229574;465931;нет
229572;465927;нет
294579;496637;нет
266875;474223;нет
294582;564471;нет
229576;465928;нет
294584;569588;687,08
229579;465932;нет
229626;465935;нет
229629;465934;нет
229581;465929;нет
229585;465939;нет
294589;528872;нет
229715;465936;нет
229586;465940;нет
229592;465942;нет
229590;465943;нет
229577;465944;нет
229580;465945;нет
229593;465949;нет
229595;465946;нет
229598;465961;нет
229601;465947;нет
391694;564686;нет
229589;465948;нет
229603;465950;нет
229605;465951;нет
264174;474227;нет
231191;465952;нет
229610;465930;нет
229613;465941;нет
229608;465954;нет
229612;465955;нет
229614;465953;нет
266884;474228;нет
294598;524289;нет
294603;524249;нет
294607;496705;нет
294606;526353;нет
294611;497247;нет
384144;562342;нет
229616;465956;нет
334809;534097;нет
229713;465957;нет
229619;465958;нет
229620;465959;нет
266887;474229;нет
294613;514067;нет
294614;496700;нет
229621;465960;нет
229624;465962;нет
264179;474231;нет
9770;370022;нет
355163;530001;нет
166940;336240;нет
49255;362597;нет
95575;350955;нет
95577;345478;нет
78762;353612;нет
78763;332190;нет
190669;439652;нет
94466;337335;нет
133326;353774;нет
134164;409173;нет
134171;409172;нет
166522;396384;нет
178589;437450;нет
178590;437451;нет
178591;437452;нет
178592;437453;нет
178593;437454;нет
178595;437455;нет
162079;437434;нет
162083;437436;нет
178601;437456;нет
178602;437457;нет
162097;437446;нет
163273;437447;нет
162085;437439;нет
162084;437438;нет
178596;437458;нет
162087;437440;нет
162088;437441;нет
162089;437442;нет
162090;437443;нет
162093;437444;нет
162094;437445;нет
178597;437459;нет
178598;437460;нет
178600;437461;нет
162099;437448;нет
162101;437449;нет
158292;437462;нет
158293;437463;нет
158294;437464;нет
158295;437465;нет
158296;437466;нет
61865;384900;нет
88873;390148;нет
88876;387816;нет
88862;401621;нет
112871;393417;нет
62229;401196;нет
62230;393418;нет
35019;383894;нет
109275;383895;нет
109271;390407;нет
21959;390408;нет
65048;396877;нет
74453;387557;нет
74452;391418;нет
288046;529908;нет
288047;526398;нет
150903;474323;нет
150690;359762;нет
150904;474324;нет
150691;359763;нет
151015;474325;нет
150692;359764;нет
19117;326279;нет
69596;362802;нет
234751;470783;119
234753;473697;118,97
169527;431330;нет
357997;572855;105,78
293550;496794;нет
352555;573128;нет
172492;431692;нет
78066;337453;нет
296451;564242;нет
190674;470114;нет
351392;568308;нет
309321;568307;12,5
220366;564238;нет
351393;568302;нет
298721;568301;12,5
188657;487090;нет
351395;568310;нет
309322;568309;12,5
304650;568304;нет
351394;568306;нет
374126;568303;12,5
220369;569709;нет
373768;568482;нет
38443;369754;нет
17061;362724;нет
332268;560004;нет
109253;352257;113,35
342887;568061;нет
40676;361215;нет
40678;326617;нет
337420;557124;нет
373739;568483;нет
307128;529663;нет
58623;329514;нет
19948;371545;нет
373734;568484;нет
193097;572829;нет
393521;567267;нет
393519;567266;нет
393516;568145;нет
393517;568146;нет
393518;568147;нет
290955;529525;нет
352260;559064;нет
413543;580619;нет
376806;533906;79,9
376807;532545;99,2
250979;467707;нет
297965;557517;нет
303698;565330;нет
303693;565333;нет
303708;565332;нет
303705;557512;нет
303703;565331;нет
166990;336187;нет
406236;569890;нет
406235;569889;26,55
406225;569888;47,8
406231;571311;47,8
308871;496385;123,3
151018;426012;нет
93355;426000;нет
74960;337821;нет
9771;362160;нет
110084;426005;нет
90905;425998;нет
57158;365325;нет
91228;403375;нет
13637;328523;нет
107812;403959;нет
9802;361429;нет
178990;438794;нет
160037;424986;нет
240733;557607;нет
229180;564071;нет
85564;333460;нет
229185;467300;нет
85556;333521;нет
108104;359876;нет
240732;564072;нет
108105;359875;нет
190997;465392;нет
173386;438282;нет
190998;465394;нет
85549;333461;нет
134495;359879;нет
229188;467215;нет
85546;352527;нет
179668;438283;нет
85568;352348;нет
199702;465393;нет
173390;438281;нет
85568;398724;нет
134496;347237;нет
200384;465391;нет
116176;359873;нет
116174;359874;нет
240736;568040;нет
240731;568041;нет
240735;568042;нет
110547;359872;нет
110546;334350;нет
110548;334819;нет
110549;349793;нет
9774;326329;нет
80113;374520;нет
300549;564331;нет
70015;328991;141,22
300550;563116;нет
91401;426001;нет
17056;326711;нет
308882;527171;140
373733;568485;нет
122695;358327;нет
119330;355776;нет
398220;568022;132,17
398221;568023;нет
52454;376725;нет
40701;401877;нет
93034;348406;нет
49926;426006;нет
19946;326874;нет
49929;426007;нет
20324;326712;нет
19970;328815;нет
48255;346708;нет
13798;352522;нет
41608;351328;нет
9805;327998;нет
80143;364247;нет
48274;370745;нет
9804;360804;нет
40703;369974;нет
94679;345909;нет
94678;346817;нет
26752;363755;нет
48291;327259;нет
38428;328640;нет
68032;362481;нет
373745;568486;нет
39866;336242;нет
373751;568487;нет
325085;557128;нет
343223;559982;нет
317563;468784;нет
287891;568164;нет
38444;359448;нет
13789;327225;нет
373755;568488;нет
373748;568491;нет
373766;568492;нет
373750;568493;нет
132055;572859;нет
197102;462164;нет
38455;335946;нет
385477;567829;нет
13441;326278;нет
36002;328641;нет
13443;326710;нет
9801;326914;нет
93393;380732;нет
72360;369871;нет
40728;327278;нет
304597;412352;нет
20504;376138;нет
292745;499383;нет
38447;337013;нет
13787;329072;нет
99997;344963;118,69
278940;328085;нет
9783;326873;нет
303130;524424;нет
38433;362112;нет
144797;425999;нет
19971;403625;нет
40749;360989;нет
55117;335697;нет
55115;350060;нет
337421;557127;нет
166983;336061;нет
373737;568494;нет
20505;326573;нет
36006;362827;нет
13442;326383;нет
36004;328642;нет
9703;326769;нет
373760;568495;нет
230326;468847;141,24
373770;568496;нет
36008;336950;нет
12905;327769;нет
364441;562198;222,6
73084;333024;нет
113012;354037;нет
35014;361932;нет
35004;403529;нет
34561;378079;нет
35016;371210;нет
32947;371211;нет
27594;377624;нет
35012;368513;нет
40436;379969;нет
40768;361808;нет
40437;371549;нет
40713;381929;нет
32872;368511;нет
32875;363031;нет
33669;361533;нет
27610;370709;нет
62225;370712;нет
23028;364003;нет
21950;368456;нет
27593;368508;нет
23030;366287;нет
34562;365869;нет
28611;368509;нет
27595;361544;нет
34564;368036;нет
23042;361045;нет
21964;371435;нет
21964;437387;нет
21964;363007;нет
62228;386621;нет
34565;361561;нет
34565;368037;нет
23217;368039;нет
27599;380233;нет
62527;370653;нет
23031;370591;нет
27601;373862;нет
23032;381490;нет
21954;368040;нет
21954;365423;нет
62232;368430;нет
27602;370654;нет
88856;378070;нет
62233;370670;нет
62235;387159;нет
23038;366728;нет
28619;366727;нет
23037;360976;нет
35017;370502;нет
23040;366729;нет
73172;378987;нет
88868;386312;нет
23038;476275;нет
28115;383333;нет
62528;366769;нет
21962;361720;нет
62237;369818;нет
22920;366730;нет
27611;365680;нет
21963;367554;нет
28706;367555;нет
21958;366725;нет
21958;360888;нет
23035;366721;нет
88879;390382;нет
27598;378494;нет
40443;404778;нет
28612;362027;нет
32281;368038;нет
162899;425996;нет
48248;329720;нет
88853;397124;нет
116960;370713;нет
40782;380439;нет
40792;368876;нет
40793;380810;нет
32945;366291;нет
32816;370535;нет
32925;370560;нет
27604;362653;нет
28615;363752;нет
31598;384516;нет
358651;573092;нет
358652;573093;нет
27608;366723;нет
28617;372742;нет
34399;363753;нет
32822;363033;нет
33085;366722;нет
34799;362992;нет
34566;362858;нет
358650;573094;нет
373003;573095;нет
175758;436356;нет
373763;568509;нет
373742;568510;нет
140736;354866;нет
30419;328397;нет
9781;329073;нет
36012;361980;нет
9778;363735;нет
9779;329617;нет
21534;565392;нет
13796;371172;нет
9780;327493;нет
149470;360380;нет
60093;336065;нет
38451;328238;нет
19961;333419;нет
