M_id;T_id;Price_2.2
75960;373917;61,87
229565;465923;450,43
294556;528812;270,4
229707;465924;468,18
264167;474220;266,27
229567;465925;181,65
229570;465926;нет
229571;465933;268,35
294578;496546;278,6
264169;474221;нет
397204;568161;300,93
264183;474222;235,57
229574;465931;385,21
229572;465927;471,12
294579;496637;279,75
266875;474223;153,48
294582;564471;294,72
229576;465928;522,24
294584;569588;нет
229579;465932;285,75
229626;465935;262,03
229629;465934;316,47
229581;465929;178,48
229585;465939;нет
294589;528872;220,23
229715;465936;443,7
229586;465940;561,26
229592;465942;нет
229590;465943;344,16
229577;465944;нет
229580;465945;240,85
229593;465949;251,8
229595;465946;247,5
229598;465961;213,1
229601;465947;449,27
391694;564686;261,07
229589;465948;242,39
229603;465950;нет
229605;465951;нет
264174;474227;444,95
231191;465952;274,46
229610;465930;473,21
229613;465941;322,59
229608;465954;277,79
229612;465955;480,01
229614;465953;264,23
266884;474228;229,38
294598;524289;нет
294603;524249;455,76
294607;496705;328,77
294606;526353;нет
294611;497247;257,63
384144;562342;642,12
229616;465956;239,34
334809;534097;350,41
229713;465957;285,96
229619;465958;370,69
229620;465959;449,45
266887;474229;401,6
294613;514067;нет
294614;496700;192,32
229621;465960;158,36
229624;465962;129,52
264179;474231;279,35
9770;370022;14,38
355163;530001;нет
166940;336240;нет
49255;362597;11,93
95575;350955;нет
95577;345478;нет
78762;353612;нет
78763;332190;нет
190669;439652;нет
94466;337335;нет
133326;353774;нет
134164;409173;нет
134171;409172;нет
166522;396384;нет
178589;437450;нет
178590;437451;нет
178591;437452;нет
178592;437453;нет
178593;437454;нет
178595;437455;нет
162079;437434;нет
162083;437436;нет
178601;437456;нет
178602;437457;нет
162097;437446;нет
163273;437447;нет
162085;437439;нет
162084;437438;нет
178596;437458;нет
162087;437440;нет
162088;437441;нет
162089;437442;нет
162090;437443;нет
162093;437444;нет
162094;437445;нет
178597;437459;нет
178598;437460;нет
178600;437461;нет
162099;437448;нет
162101;437449;нет
158292;437462;нет
158293;437463;нет
158294;437464;нет
158295;437465;нет
158296;437466;нет
61865;384900;нет
88873;390148;нет
88876;387816;нет
88862;401621;нет
112871;393417;нет
62229;401196;нет
62230;393418;нет
35019;383894;нет
109275;383895;нет
109271;390407;нет
21959;390408;нет
65048;396877;нет
74453;387557;20,65
74452;391418;нет
288046;529908;91,25
288047;526398;152
150903;474323;5,36
150690;359762;нет
150904;474324;5,36
150691;359763;нет
151015;474325;5,36
150692;359764;нет
19117;326279;7,02
69596;362802;24,59
234751;470783;нет
234753;473697;нет
169527;431330;32,46
357997;572855;нет
293550;496794;нет
352555;573128;нет
172492;431692;41,29
78066;337453;67,02
296451;564242;43,13
190674;470114;23,4
351392;568308;нет
309321;568307;нет
220366;564238;нет
351393;568302;нет
298721;568301;нет
188657;487090;23,43
351395;568310;нет
309322;568309;нет
304650;568304;23,51
351394;568306;нет
374126;568303;нет
220369;569709;41,83
373768;568482;нет
38443;369754;17,25
17061;362724;18,19
332268;560004;102,8
109253;352257;нет
342887;568061;173,86
40676;361215;13,07
40678;326617;13,15
337420;557124;89,58
373739;568483;нет
307128;529663;нет
58623;329514;327,74
19948;371545;12,9
373734;568484;нет
193097;572829;нет
393521;567267;157,79
393519;567266;97,69
393516;568145;94,31
393517;568146;148,85
393518;568147;73,33
290955;529525;5,44
352260;559064;нет
413543;580619;нет
376806;533906;нет
376807;532545;нет
250979;467707;нет
297965;557517;41,74
303698;565330;343,71
303693;565333;343,71
303708;565332;344,8
303705;557512;34,44
303703;565331;343,89
166990;336187;нет
406236;569890;нет
406235;569889;нет
406225;569888;нет
406231;571311;нет
308871;496385;нет
151018;426012;нет
93355;426000;12,71
74960;337821;14,1
9771;362160;15,73
110084;426005;18,8
90905;425998;нет
57158;365325;7,49
91228;403375;15,87
13637;328523;16,59
107812;403959;8,09
9802;361429;8,32
178990;438794;нет
160037;424986;нет
240733;557607;нет
229180;564071;нет
85564;333460;90,33
229185;467300;52,09
85556;333521;90,42
108104;359876;80,02
240732;564072;55,82
108105;359875;110,06
190997;465392;нет
173386;438282;нет
190998;465394;95,35
85549;333461;нет
134495;359879;68,17
229188;467215;74,67
85546;352527;120,3
179668;438283;нет
85568;352348;88,22
199702;465393;194,61
173390;438281;нет
85568;398724;88,22
134496;347237;94,86
200384;465391;нет
116176;359873;нет
116174;359874;нет
240736;568040;142,5
240731;568041;141,82
240735;568042;186,27
110547;359872;нет
110546;334350;193,75
110548;334819;90,88
110549;349793;138,63
9774;326329;8,8
80113;374520;9,5
300549;564331;нет
70015;328991;нет
300550;563116;нет
91401;426001;10,63
17056;326711;9,1
308882;527171;нет
373733;568485;нет
122695;358327;нет
119330;355776;нет
398220;568022;нет
398221;568023;222,53
52454;376725;нет
40701;401877;12,06
93034;348406;13,04
49926;426006;12,23
19946;326874;11,68
49929;426007;11,45
20324;326712;11,26
19970;328815;15,52
48255;346708;14,94
13798;352522;8,75
41608;351328;12,46
9805;327998;нет
80143;364247;10,94
48274;370745;нет
9804;360804;нет
40703;369974;нет
94679;345909;18,71
94678;346817;19,61
26752;363755;12,43
48291;327259;12,56
38428;328640;9,18
68032;362481;10
373745;568486;нет
39866;336242;236,24
373751;568487;нет
325085;557128;нет
343223;559982;15,05
317563;468784;нет
287891;568164;нет
38444;359448;12,55
13789;327225;13,95
373755;568488;нет
373748;568491;нет
373766;568492;нет
373750;568493;нет
132055;572859;нет
197102;462164;304,98
38455;335946;12,02
385477;567829;60,67
13441;326278;9,74
36002;328641;9,81
13443;326710;9,64
9801;326914;11,26
93393;380732;10,95
72360;369871;нет
40728;327278;12,43
304597;412352;нет
20504;376138;24,54
292745;499383;нет
38447;337013;17,51
13787;329072;19,3
99997;344963;нет
278940;328085;нет
9783;326873;7,01
303130;524424;нет
38433;362112;9,85
144797;425999;9,46
19971;403625;16,18
40749;360989;нет
55117;335697;10,6
55115;350060;11,39
337421;557127;120,55
166983;336061;нет
373737;568494;нет
20505;326573;43,61
36006;362827;13,32
13442;326383;13,61
36004;328642;9,14
9703;326769;10,45
373760;568495;нет
230326;468847;нет
373770;568496;нет
36008;336950;14,86
12905;327769;15,22
364441;562198;нет
73084;333024;нет
113012;354037;нет
35014;361932;нет
35004;403529;нет
34561;378079;16,62
35016;371210;28,52
32947;371211;23,37
27594;377624;38,12
35012;368513;нет
40436;379969;нет
40768;361808;40,29
40437;371549;нет
40713;381929;нет
32872;368511;38,04
32875;363031;нет
33669;361533;нет
27610;370709;18,83
62225;370712;нет
23028;364003;нет
21950;368456;20,15
27593;368508;нет
23030;366287;нет
34562;365869;нет
28611;368509;17,19
27595;361544;18,74
34564;368036;нет
23042;361045;16,52
21964;371435;23,13
21964;437387;23,13
21964;363007;23,13
62228;386621;нет
34565;361561;34,22
34565;368037;34,22
23217;368039;16,79
27599;380233;нет
62527;370653;нет
23031;370591;нет
27601;373862;нет
23032;381490;25,96
21954;368040;42,6
21954;365423;42,6
62232;368430;нет
27602;370654;нет
88856;378070;нет
62233;370670;нет
62235;387159;нет
23038;366728;52,2
28619;366727;17,21
23037;360976;16,32
35017;370502;нет
23040;366729;23,57
73172;378987;нет
88868;386312;нет
23038;476275;52,2
28115;383333;нет
62528;366769;нет
21962;361720;18,2
62237;369818;25,89
22920;366730;13,62
27611;365680;нет
21963;367554;нет
28706;367555;18,61
21958;366725;30,68
21958;360888;30,68
23035;366721;12,12
88879;390382;нет
27598;378494;нет
40443;404778;нет
28612;362027;27,91
32281;368038;60,19
162899;425996;нет
48248;329720;10,43
88853;397124;35,74
116960;370713;нет
40782;380439;нет
40792;368876;нет
40793;380810;нет
32945;366291;66,43
32816;370535;нет
32925;370560;40,34
27604;362653;нет
28615;363752;14,39
31598;384516;22,13
358651;573092;нет
358652;573093;нет
27608;366723;55,25
28617;372742;19,29
34399;363753;нет
32822;363033;24,46
33085;366722;63,16
34799;362992;60,83
34566;362858;20,48
358650;573094;нет
373003;573095;нет
175758;436356;108,35
373763;568509;нет
373742;568510;нет
140736;354866;нет
30419;328397;19,78
9781;329073;10,05
36012;361980;12,92
9778;363735;12,18
9779;329617;7,69
21534;565392;12,12
13796;371172;нет
9780;327493;8,19
149470;360380;нет
60093;336065;6,75
38451;328238;10,97
19961;333419;10,44
9704;362378;нет
234749;562170;нет
40838;329709;12,29
70960;332533;10,5
161602;514096;нет
161604;524384;нет
161606;514097;нет
161600;514099;нет
161611;514095;нет
316402;529999;нет
91262;349129;11,76
40839;362742;17,05
246896;476304;119,83
226527;474345;36,19
225794;358369;29,33
151691;486996;нет
92495;404705;14,28
9773;381493;8,49
373731;564350;100,23
373723;564351;106,57
373729;564352;112,58
378075;564353;94,96
113216;426009;13,5
136116;426010;17,47
144654;378445;нет
144653;426013;нет
353703;558840;нет
288337;487034;нет
264992;527099;нет
286236;486484;40,34
17057;331350;12,37
17058;362743;11,83
373757;568511;нет
38435;361744;10,24
9806;361091;нет
311799;529874;20,58
160245;425991;нет
55159;425990;нет
316648;554032;20,1
352804;558838;20,03
97642;338574;33,88
316986;554033;20,3
347566;558839;19,86
311802;529875;20,45
107149;337439;нет
73181;337822;нет
126680;337523;нет
73854;347338;18,32
77672;363280;17,17
73185;337524;нет
73186;338119;нет
107155;425987;нет
135174;425988;нет
107157;425986;нет
107158;425985;нет
134782;337525;нет
107159;337526;нет
40852;336588;8,53
40853;361004;8,42
300533;535553;67,76
300536;535554;нет
107163;373623;18,03
107160;426004;15,01
234091;467379;45,99
21256;336839;нет
313332;464249;190,99
70203;327305;11,17
70201;364454;11,11
111112;563109;9,14
80142;366052;нет
13794;326826;10
91274;403376;нет
13795;360958;7,2
75794;376691;нет
305424;564130;11,64
75792;359518;12,18
20536;326622;10,63
80186;335008;13,91
80188;365727;12,95
229584;465938;197,13
337045;557131;нет
309947;558769;нет
152675;437527;нет
152676;437523;нет
258556;470782;нет
241425;468233;нет
196891;468232;нет
196889;468230;нет
196890;468231;нет
103557;376238;нет
103550;404338;нет
103555;404240;нет
123600;404205;нет
123601;468235;нет
103550;376101;нет
103552;344979;нет
103553;377511;нет
103555;343961;нет
103549;342546;нет
103554;525409;нет
103554;343738;нет
103551;377323;нет
117058;401233;нет
117059;401235;нет
178156;437743;4,73
178157;572790;нет
154066;359273;5,11
154065;359274;нет
154067;359275;4,9
178158;437735;4,73
187061;439200;3,83
187065;439201;3,82
187064;439202;3,78
333661;558210;336,94
300087;529921;218,69
169863;431343;нет
169864;431344;нет
169867;431345;нет
169866;431346;нет
169861;431348;нет
181985;438334;нет
169865;431349;нет
169860;431350;нет
169862;431351;нет
128280;466673;нет
357998;561084;77,99
78065;337993;34,06
240752;467706;нет
173879;437549;нет
173880;437547;нет
172350;437534;нет
169994;437541;нет
169997;437538;нет
169999;437542;нет
138961;437520;нет
96835;437582;нет
85922;347154;нет
201569;464139;103,61
48845;335651;нет
22719;329942;нет
22719;327883;нет
202111;459520;нет
48846;329105;нет
131993;334714;нет
137276;343519;нет
174729;437886;нет
173958;437884;нет
173959;437885;нет
62841;347405;нет
62839;329711;нет
137276;326713;нет
134326;344303;нет
62844;349407;нет
62845;329491;нет
62846;329492;нет
63129;333573;нет
63130;362594;нет
303695;557511;34,4
110092;326659;21,42
48821;329866;20,87
48822;328950;18,2
51351;335037;20,55
48824;353890;20,6
160616;355417;4,61
156013;355415;4,58
160229;360002;4,67
156014;355416;4,7
125221;572791;нет
157152;360001;4,67
140334;572937;нет
156559;360000;4,76
140336;572936;нет
227821;487074;222,88
198325;463274;99,68
237570;424987;нет
125147;359051;нет
223259;326371;60,14
107353;354185;нет
408058;561087;нет
110722;359447;нет
66311;366379;нет
99716;428048;71,04
38431;361855;15,05
54746;377042;нет
182770;470112;нет
48195;437430;нет
