M_id;T_id;Price_d3
75960;373917;62,8
229565;465923;469,05
294556;528812;277,7
229707;465924;470,55
264167;474220;270,7
229567;465925;190,25
229570;465926;275,7
229571;465933;272,4
294578;496546;285,45
264183;474222;238,15
229574;465931;392,4
229572;465927;484,35
266875;474223;158,45
229576;465928;535,15
294584;569588;708,15
229579;465932;288,75
229626;465935;268,9
229629;465934;324,05
294589;528872;224,05
229586;465940;576,9
229592;465942;255,8
229590;465943;352,55
229577;465944;738,55
229580;465945;248,55
229593;465949;258,65
229595;465946;251,55
229598;465961;218,55
229601;465947;460,8
391694;564686;268,25
229603;465950;283,25
229605;465951;824,25
264174;474227;455,85
231191;465952;283,95
229610;465930;483,25
229613;465941;332,2
229608;465954;283,3
229612;465955;492,95
229614;465953;269,65
266884;474228;237,25
294603;524249;465,15
294607;496705;337,75
294611;497247;253,05
384144;562342;658,15
229616;465956;240,6
229713;465957;291,55
229619;465958;373,25
229620;465959;453,65
266887;474229;409,4
294613;514067;589
229621;465960;162,45
229624;465962;134,5
264179;474231;284,4
95577;345478;75,15
88876;387816;14,6
21959;390408;20,35
150690;359762;67,1
150691;359763;67,3
150692;359764;67,1
234751;470783;123,1
234753;473697;122,75
169527;431330;34
172492;431692;44,35
78066;337453;71,2
190674;470114;22,95
351392;568308;266,45
351393;568302;271,65
188657;487090;22,25
351395;568310;264,8
304650;568304;21,75
351394;568306;270,3
220369;569709;43,2
38443;369754;18,04
109253;352257;116,95
342887;568061;181,3
337420;557124;90,8
58623;329514;337,4
393521;567267;159,05
393519;567266;99,95
393516;568145;91,7
393517;568146;154,25
393518;568147;78,85
376806;533906;80,2
376807;532545;104,6
297965;557517;43,25
303698;565330;353,9
303693;565333;361,2
303708;565332;368,2
303705;557512;36,05
303703;565331;357,15
406235;569889;25,35
406225;569888;50,2
406231;571311;50,7
229180;564071;90,35
85564;333460;93,45
229185;467300;53,4
85556;333521;94,4
108104;359876;82,35
240732;564072;58,2
108105;359875;114,5
85549;333461;71,05
134495;359879;71
229188;467215;78,15
85546;352527;126
179668;438283;94,8
85568;352348;89,95
199702;465393;204,2
173390;438281;99,45
85568;398724;89,95
134496;347237;96,55
110546;334350;201,6
70015;328991;130,65
398220;568022;138,05
398221;568023;228,4
39866;336242;238
197102;462164;312,55
20504;376138;26,8
38447;337013;18,33
99997;344963;124,7
9783;326873;7,82
337421;557127;127
20505;326573;46,99
36004;328642;10,14
364441;562198;238,75
34561;378079;16,85
35016;371210;28,9
32947;371211;24,5
40768;361808;40,9
27610;370709;18,45
23028;364003;16,9
21950;368456;21,4
23030;366287;14,15
27595;361544;19,55
23042;361045;16,75
21964;371435;23,65
21964;437387;23,65
21964;363007;23,65
34565;361561;34,95
34565;368037;34,95
27601;373862;23,45
21954;368040;45,1
21954;365423;45,1
88856;378070;14,9
23037;360976;17,1
23040;366729;16,2
21962;361720;18,85
62237;369818;27
22920;366730;14
21958;366725;31,35
21958;360888;31,35
28612;362027;28,75
32281;368038;61,3
48248;329720;10,45
88853;397124;35,4
32925;370560;41,2
27604;362653;32,85
28615;363752;14,9
31598;384516;22,95
34799;362992;57,3
34566;362858;20,55
175758;436356;112,85
140736;354866;72,7
30419;328397;20,6
21534;565392;13,58
234749;562170;134,9
226527;474345;38,2
225794;358369;31
378075;564353;99,55
353703;558840;68,05
288337;487034;83,7
286236;486484;42,45
311799;529874;21,36
97642;338574;33,75
300533;535553;65,1
229584;465938;203,3
333661;558210;348,3
300087;529921;226,9
357998;561084;83,25
78065;337993;35,25
240752;467706;107,05
201569;464139;109,85
303695;557511;35,4
48821;329866;21,45
48822;328950;18,6
51351;335037;21
48824;353890;21
198325;463274;100,2
237570;424987;93,7
223259;326371;60,8
107353;354185;116,2
99716;428048;72,2
241450;470116;171,2
59704;332471;25,6
141631;414535;77,7
140885;359212;97,45
306406;524215;59,5
221061;464138;76,6
265797;469454;133,95
265806;469455;275,95
126513;358096;124,3
77469;330774;18,3
230878;468931;102
352811;557287;66,55
101896;351932;34,25
79910;334959;13,1
285911;477200;138,3
97719;339047;19
97722;339048;34,75
186887;466734;36,15
73675;337877;36,4
75959;369499;31,05
264193;474225;315,55
229583;465937;171,35
266879;474226;267,95
264189;474230;188
138848;352851;117,35
300091;529825;137,5
313328;529873;159,55
313325;463140;171,95
180833;533249;44,35
276351;533952;86,35
172564;533296;43,55
172564;531378;43,55
134482;431220;76,8
338605;580826;31,85
244566;580850;75,85
137294;412435;82,4
109237;353773;84,25
385900;568241;186,1
300094;557256;80,1
392870;570353;53,9
140736;553937;72,7
36597;361585;22,15
27451;360814;41,65
86670;570989;23
88872;390784;80,85
88882;392794;17
88883;385669;15,45
109264;401195;26,25
137919;332969;75,55
137918;332822;39
35791;329032;194,25
229376;470111;58,55
314880;529826;878,65
196906;462079;146,9
90350;468716;133,35
307804;525294;160,75
62453;333642;3,2
234766;533686;44,55
234764;570897;43,7
179226;438363;50,2
191545;561170;94,45
117210;329975;56,2
112899;357217;11,45
193085;575953;104,1
101128;448487;10,45
67074;336812;13,3
82550;357648;7,15
61901;333057;10,1
61900;348496;10,05
96938;334139;13,25
96939;333661;8,25
190755;362657;37,9
78065;375269;35,25
73091;368013;115,85
132977;329251;98,25
22157;468766;11,9
120470;577056;57,4
374316;571268;136,25
293862;524348;122,35
89910;467165;152,1
107753;351447;219,05
167222;425943;191,1
127215;357672;168,1
198721;469523;23,5
372279;558923;22,95
198725;469516;29,2
397212;573671;131,75
139553;358764;162,5
169316;432273;125,15
291784;466713;109,85
155472;572826;71,5
342881;557125;94,15
96934;326955;13,95
96947;370028;15,4
178410;464800;90,8
62453;575868;3,2
62453;362680;3,2
85144;575986;22,9
78067;369106;149,15
47888;369823;22,4
304649;568305;195,4
332263;561010;94,05
80810;364176;11,75
80811;373622;22,9
290291;574046;152,45
391909;568451;77
81282;336767;97,75
374318;564374;31,7
103156;499382;151
162742;574054;387,25
179186;438208;120,55
54912;331118;116,85
148314;467124;170,7
122912;467125;74,15
123888;572828;1,7
303698;577685;353,9
303698;557514;353,9
303693;557515;361,2
303708;557513;368,2
303703;557516;357,15
402459;568541;66,6
83192;381188;62,7
125841;329974;54,85
164741;430951;51,45
83407;373143;13,95
97314;390271;17,9
83412;377279;16,45
83409;376764;19,95
48820;328949;21,3
107956;577171;22,2
175103;437758;139,45
89119;373835;16,65
55938;333039;19,7
55941;337487;20,95
55940;334504;19,95
110091;326932;22,55
157184;448396;150,5
288600;475827;279,7
379144;565179;83,8
265863;564241;95,7
196888;467701;81,05
201899;575576;141,24
129320;409868;76,9
134481;438094;83
307541;564240;52,75
307542;525295;98,6
342550;576588;328,7
75948;384364;37,3
409312;343446;57,45
86413;358221;13,05
87639;358433;23,85
67363;382792;129
68276;374792;199,8
68276;403427;199,8
157030;425781;262,35
97846;570135;8,2
378057;564385;189,7
131988;568163;55
161726;437605;203,25
118753;452908;33,65
74418;388011;44,35
149128;406432;57,85
149131;425168;179,9
296293;572852;190,85
237569;572846;99,65
374125;561090;154,8
310500;561092;213,25
310499;561091;142,35
239514;332043;613,3
239514;514042;613,3
140746;358104;188,55
74164;335756;22,5
45879;326979;22,65
123190;576887;37,15
239520;572858;45,65
48622;335757;21,75
150089;468190;111,55
286046;496450;164,65
299193;529512;44,5
299194;529511;72,7
60199;393659;36,2
229189;466916;67,75
200385;401688;116,5
108105;448391;114,5
116172;360170;71,05
229188;333458;78,15
85552;333462;94,7
229186;467127;113,35
108826;570938;12,8
47527;384878;12,8
48404;402494;13
117668;360239;7,83
286239;531277;90,85
286239;531833;90,85
270925;576304;256,75
74418;378127;44,35
69051;370719;37,4
187088;450653;152,2
75962;371557;62,25
36071;405826;105,25
77705;382768;17,95
77705;368988;17,95
49052;331566;139,5
316596;571361;13,92
228456;466736;121,9
